name, mbid, url, image_small, image
Metallica, 65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab, https://www.last.fm/music/Metallica, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Metallica & DJ Spooky, 65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab, https://www.last.fm/music/Metallica+&+DJ+Spooky, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Metallica Feat. Marianne Faithfull, 65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab, https://www.last.fm/music/Metallica+Feat.+Marianne+Faithfull, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Metallica with Ozzy Osbourne, 65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab, https://www.last.fm/music/Metallica+with+Ozzy+Osbourne, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Lou Reed & Metallica, 9d1ebcfe-4c15-4d18-95d3-d919898638a1, https://www.last.fm/music/Lou+Reed+&+Metallica, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Madonna, 79239441-bfd5-4981-a70c-55c3f15c1287, https://www.last.fm/music/Madonna, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Madonna feat. Justin Timberlake, 79239441-bfd5-4981-a70c-55c3f15c1287, https://www.last.fm/music/Madonna+feat.+Justin+Timberlake, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
The Black Madonna, 3f351696-75a2-4167-86b1-c5cd37770600, https://www.last.fm/music/The+Black+Madonna, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Luigi Madonna, 8353a6a9-815a-4c65-b495-c45fed04568f, https://www.last.fm/music/Luigi+Madonna, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Madonna feat. Justin Timberlake & Timbaland, 79239441-bfd5-4981-a70c-55c3f15c1287, https://www.last.fm/music/Madonna+feat.+Justin+Timberlake+&+Timbaland, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Madonna vs. David Guetta feat. Lil Wayne, 79239441-bfd5-4981-a70c-55c3f15c1287, https://www.last.fm/music/Madonna+vs.+David+Guetta+feat.+Lil+Wayne, , 
Madonna Feat. Justin Timberlake and Timbaland, 79239441-bfd5-4981-a70c-55c3f15c1287, https://www.last.fm/music/Madonna+Feat.+Justin+Timberlake+and+Timbaland, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Ricky Martin & Madonna, 70ea63ea-70dc-4b63-951a-2c249d2b3b0a, https://www.last.fm/music/Ricky+Martin+&+Madonna, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Madonna Vs. David Guetta, 79239441-bfd5-4981-a70c-55c3f15c1287, https://www.last.fm/music/Madonna+Vs.+David+Guetta, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Madonna Nash, a03e6851-a046-4599-85f0-5977905f8e8a, https://www.last.fm/music/Madonna+Nash, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png, https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
